imName xmin ymin width height
1F001.png 287 328 689 233
1F002.png 178 343 953 200
1F003.png 240 335 848 211
1F004.png 252 339 794 213
1F005b.png 357 334 574 182
1F006.png 269 332 757 221
1F007.png 343 330 574 225
1F008B.png 283 339 691 194
1F009B.png 273 330 739 217
1F010BX.png 203 341 858 201
1F011bX.png 322 332 629 178
1F013bX.png 314 332 644 211
1F014BX.png 213 334 926 213
1F015bX.png 281 335 722 200
1GG001R.png 299 337 671 184
1GG002.png 357 334 592 196
1GG003mix.png 326 335 532 205
1GG004b.png 326 330 596 207
1GG006I.png 378 334 535 196
1GG007b.png 400 330 419 221
1GG008.png 365 339 582 211
1GG009B.png 355 335 574 203
1GG010bX.png 365 337 512 194
1GG011b.png 314 335 634 196
1GG012B.png 376 337 516 198
1M002BX.png 382 337 499 213
1M003bX.png 334 341 603 178
1M004X.png 295 328 722 233
1M005BX.png 269 337 823 215
1M006b.png 357 332 601 231
1M007B.png 328 335 607 227
1M008B.png 267 334 667 219
1M009BX.png 188 355 833 194
1M010B.png 200 339 904 209
1M011bX.png 254 363 833 184
1M012BX.png 157 343 961 203
1TF001.png 308 332 621 219
1TF002.png 225 335 860 213
1TF003.png 314 343 611 209
1TF004X.png 312 339 658 211
1TF005.png 254 330 790 233
1TF006.png 392 335 460 219
1TF007.png 392 337 520 219
1TF008.png 209 337 922 205
1TF009.png 308 339 603 213
1TF010bX.png 318 339 699 213
1TF011.png 207 343 774 207
1TF012.png 295 341 669 205
1TF013.png 341 337 638 215
1TF014.png 388 339 477 213
1TF015.png 219 347 891 192
1TF016.png 293 339 638 217
2F001X.png 332 335 572 211
2F002X.png 174 341 902 205
2F003BX.png 201 337 920 200
2F004BX.png 299 332 687 215
2F005BX.png 252 330 801 227
2F006B.png 227 347 904 203
2GG001BX.png 411 335 366 209
2GG002.png 353 332 469 213
2GG004.png 415 339 306 196
2M001BX.png 229 347 867 203
2M002B.png 128 347 1001 194
2M003bX.png 301 343 677 209
2M004bX.png 320 334 594 209
2TF001BX.png 367 332 545 219
2TF002X.png 258 335 799 215
2TF003.png 351 334 578 205
2TF004BX.png 382 341 537 194
2TF005X.png 269 337 743 223
2TF006.png 246 335 722 211
2TF007b.png 260 341 741 209
2TF008bX.png 301 341 654 205
2TF009b.png 306 337 677 215
2TF010.png 295 337 720 221
3F003.png 297 339 732 213
3F004.png 254 337 792 213
3F005.png 258 337 848 221
3F006b.png 188 341 963 213
3F007b.png 372 334 510 225
3F008b.png 332 332 642 227
3F009bX.png 312 334 633 215
3F010B.png 201 341 821 211
3F011BX.png 170 345 978 209
3GG001bmix.png 335 337 578 196
3GG002.png 415 339 500 194
3GG003.png 413 343 434 194
3GG004Bi.png 413 332 438 213
3GG005bX.png 446 335 401 217
3GG006B.png 392 335 502 198
3M001.png 254 363 780 188
3M002.png 242 343 788 200
3M003bI.png 419 339 413 207
3M004.png 262 339 712 209
3M007b.png 330 334 594 194
3M008.png 335 355 607 180
3M009.png 334 349 592 201
3TF001I.png 254 341 753 205
3TF004.png 159 347 881 205
3TF007b.png 198 339 761 207
3TF008.png 277 343 745 188
3TF009.png 219 337 869 200
3TF011B.png 258 328 780 229
